Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Total U.S.",Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,44749707.48,14377053.08,11890232.90,893721.10,17588700.40,12829493.40,4617813.55,141393.45
Albany,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,129222.29,3789.30,112635.18,158.00,12639.81,8877.95,3761.86,0.00
Atlanta,Weekly,"2019-01-07 00:00:00",Conventional,0.920000000,828971.15,388574.98,38902.85,3482.04,398011.28,299475.26,98477.41,58.61
Baltimore/Washington,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,925391.38,102652.85,530128.43,8212.94,284397.16,263150.78,21233.05,13.33
Boise,Weekly,"2019-01-07 00:00:00",Conventional,1.230000000,108261.98,43723.19,7085.86,14435.46,43017.47,23932.54,19049.95,34.98
Boston,Weekly,"2019-01-07 00:00:00",Conventional,1.340000000,767731.38,11483.09,597937.87,2510.57,155799.85,109108.51,46691.34,0.00
Buffalo/Rochester,Weekly,"2019-01-07 00:00:00",Conventional,1.190000000,197137.26,9963.81,92129.51,281.96,94761.98,53069.02,41679.63,13.33
California,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,7195166.45,1989731.98,2089603.56,118964.72,2996866.19,2851060.95,77908.55,67896.69
Charlotte,Weekly,"2019-01-07 00:00:00",Conventional,1.100000000,323640.60,122312.03,63971.60,9550.23,127806.74,108828.50,18929.10,49.14
Chicago,Weekly,"2019-01-07 00:00:00",Conventional,1.310000000,739020.76,186828.35,371930.88,46176.93,134084.60,111203.24,21301.95,1579.41
Cincinnati/Dayton,Weekly,"2019-01-07 00:00:00",Conventional,0.810000000,381974.08,76483.81,38131.33,9393.38,257965.56,235641.79,21912.15,411.62
Columbus,Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,265974.39,74786.63,38044.60,3039.06,150104.10,126888.94,23155.18,59.98
"Dallas/Ft. Worth",Weekly,"2019-01-07 00:00:00",Conventional,0.680000000,1739039.62,789897.17,232813.75,17050.28,699278.42,543479.17,155453.79,345.46
Denver,Weekly,"2019-01-07 00:00:00",Conventional,1.040000000,990107.19,157260.45,215321.46,17338.74,600186.54,183278.12,416576.16,332.26
Detroit,Weekly,"2019-01-07 00:00:00",Conventional,0.930000000,561515.47,143677.15,65215.69,82673.50,269949.13,232424.57,25041.65,12482.91
"Grand Rapids",Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,222842.69,5006.78,84184.42,80516.26,53135.23,33167.05,615.83,19352.35
"Great Lakes",Weekly,"2019-01-07 00:00:00",Conventional,1.000000000,4526121.95,953487.99,1176050.61,364915.05,2031668.30,1564128.36,398894.00,68645.94
Harrisburg/Scranton,Weekly,"2019-01-07 00:00:00",Conventional,1.020000000,379285.32,66988.09,224761.57,513.62,87022.04,82104.22,4911.15,6.67
Hartford/Springfield,Weekly,"2019-01-07 00:00:00",Conventional,1.400000000,378882.16,7744.34,294948.08,576.57,75613.17,68977.82,6625.35,10.00
Houston,Weekly,"2019-01-07 00:00:00",Conventional,0.620000000,1862343.88,900434.41,172976.36,2245.67,786687.44,612662.75,174018.02,6.67
Indianapolis,Weekly,"2019-01-07 00:00:00",Conventional,0.860000000,282887.95,60648.16,63097.30,5951.31,153191.18,138052.87,11118.96,4019.35
Jacksonville,Weekly,"2019-01-07 00:00:00",Conventional,1.130000000,233283.11,131385.41,10798.29,1273.74,89825.67,37166.91,52655.43,3.33
"Las Vegas",Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,379303.12,72070.33,100219.03,9533.70,197480.06,85198.75,112281.31,0.00
"Los Angeles",Weekly,"2019-01-07 00:00:00",Conventional,0.870000000,3599552.29,1132790.21,381246.51,76621.56,2008894.01,1907302.08,46313.61,55278.32
Louisville,Weekly,"2019-01-07 00:00:00",Conventional,0.980000000,146399.81,34876.12,20517.55,204.85,90801.29,66986.65,23807.98,6.66
"Miami/Ft. Lauderdale",Weekly,"2019-01-07 00:00:00",Conventional,1.140000000,885275.40,546503.42,52959.04,5542.80,280270.14,113257.66,166999.15,13.33
Midsouth,Weekly,"2019-01-07 00:00:00",Conventional,1.070000000,4204207.55,1267197.98,1135305.43,36475.32,1765228.82,1455150.48,309888.62,189.72
Nashville,Weekly,"2019-01-07 00:00:00",Conventional,0.940000000,321950.79,143132.03,9906.16,560.36,168352.24,129491.41,38843.76,17.07
"New Orleans/Mobile",Weekly,"2019-01-07 00:00:00",Conventional,1.140000000,306540.51,173681.21,23590.64,3016.40,106252.26,69440.42,36805.17,6.67
"New York",Weekly,"2019-01-07 00:00:00",Conventional,1.390000000,1774309.27,49294.65,1171826.84,8756.63,544431.15,511018.11,33402.96,10.08
Northeast,Weekly,"2019-01-07 00:00:00",Conventional,1.270000000,5512620.18,278662.91,3752327.47,17311.50,1464318.30,1186425.55,277834.02,58.73
"Northern New England",Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,590612.51,11353.82,518139.53,542.47,60576.69,26571.60,34001.76,3.33
Orlando,Weekly,"2019-01-07 00:00:00",Conventional,1.100000000,520108.57,303030.31,23404.86,4996.14,188677.26,92855.61,95821.65,0.00
Philadelphia,Weekly,"2019-01-07 00:00:00",Conventional,1.180000000,584097.72,36585.57,364439.05,1905.13,181167.97,159963.44,21194.53,10.00
Phoenix/Tucson,Weekly,"2019-01-07 00:00:00",Conventional,0.770000000,1359861.55,579079.94,272371.19,18522.70,489887.72,254646.16,235241.56,0.00
Pittsburgh,Weekly,"2019-01-07 00:00:00",Conventional,1.250000000,127208.20,35208.51,19898.68,1507.23,70593.78,36812.49,33774.62,6.67
Plains,Weekly,"2019-01-07 00:00:00",Conventional,1.080000000,2327217.09,1040614.21,563581.06,20559.77,702462.05,627325.78,75011.20,125.07
Portland,Weekly,"2019-01-07 00:00:00",Conventional,1.110000000,743458.81,76237.59,297382.33,41195.83,328643.06,123980.24,203631.73,1031.09
Raleigh/Greensboro,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,415160.55,160444.03,77742.33,7482.86,169491.33,142423.37,27053.90,14.06
Richmond/Norfolk,Weekly,"2019-01-07 00:00:00",Conventional,0.910000000,369097.05,117766.75,78918.52,2193.51,170218.27,139089.22,31104.27,24.78
Roanoke,Weekly,"2019-01-07 00:00:00",Conventional,0.910000000,226546.46,65528.69,38446.10,131.85,122439.82,94704.98,27728.17,6.67
Sacramento,Weekly,"2019-01-07 00:00:00",Conventional,1.290000000,550935.42,136757.13,326182.85,1798.33,86197.11,78598.63,6317.10,1281.38
"San Diego",Weekly,"2019-01-07 00:00:00",Conventional,0.920000000,655861.67,131976.74,151634.59,17119.08,355131.26,344843.06,10278.20,10.00
"San Francisco",Weekly,"2019-01-07 00:00:00",Conventional,1.530000000,891390.00,173193.72,561769.37,6055.67,150371.24,143890.67,4252.27,2228.30
Seattle,Weekly,"2019-01-07 00:00:00",Conventional,1.370000000,591490.42,103869.74,175376.41,1291.18,310953.09,119357.12,190663.50,932.47
"South Carolina",Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,527258.20,270121.81,56706.29,5214.65,195215.45,147279.31,47658.93,277.21
"South Central",Weekly,"2019-01-07 00:00:00",Conventional,0.740000000,8067743.48,3825511.01,1021815.00,105232.46,3115185.01,2432264.28,682061.04,859.69
Southeast,Weekly,"2019-01-07 00:00:00",Conventional,1.060000000,5410461.88,2970600.07,306560.18,30400.79,2102900.84,1232360.75,870004.88,535.21
Spokane,Weekly,"2019-01-07 00:00:00",Conventional,1.210000000,103261.73,26314.34,25884.53,91.66,50971.20,23801.76,27116.50,52.94
"St. Louis",Weekly,"2019-01-07 00:00:00",Conventional,1.130000000,221675.27,110425.52,10370.03,729.42,100150.30,68176.98,31969.99,3.33
Syracuse,Weekly,"2019-01-07 00:00:00",Conventional,1.110000000,94650.92,4195.53,56417.83,86.00,33951.56,16291.65,17659.91,0.00
Tampa,Weekly,"2019-01-07 00:00:00",Conventional,1.120000000,574313.20,331993.66,29145.62,2892.11,210281.81,87128.46,123153.35,0.00
West,Weekly,"2019-01-07 00:00:00",Conventional,1.030000000,7506168.91,2051246.94,1844989.59,199861.49,3410070.89,1480777.25,1926211.24,3082.40
"West Tex/New Mexico",Weekly,"2019-01-07 00:00:00",Conventional,0.890000000,877424.15,402471.90,130818.29,50853.12,293280.84,206759.49,86469.13,52.22
"Total U.S.",Weekly,"2019-01-07 00:00:00",Organic,1.470000000,1706136.92,144293.54,286237.67,4849.65,1270752.28,1039378.52,231335.78,37.98
Albany,Weekly,"2019-01-07 00:00:00",Organic,1.410000000,5006.34,31.85,624.66,0.00,4349.83,4349.83,0.00,0.00
Atlanta,Weekly,"2019-01-07 00:00:00",Organic,1.420000000,16714.19,265.17,4554.23,0.00,11894.79,4813.49,7081.30,0.00
Baltimore/Washington,Weekly,"2019-01-07 00:00:00",Organic,1.230000000,58619.13,966.60,5809.41,66.20,51776.92,51689.22,87.70,0.00
Boise,Weekly,"2019-01-07 00:00:00",Organic,1.730000000,3616.52,0.00,922.69,0.00,2693.83,1261.80,1432.03,0.00
Boston,Weekly,"2019-01-07 00:00:00",Organic,1.530000000,32246.02,30.54,2768.75,0.00,29446.73,15058.40,14388.33,0.00
Buffalo/Rochester,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,14598.43,493.05,199.05,0.00,13906.33,5608.98,8297.35,0.00
California,Weekly,"2019-01-07 00:00:00",Organic,1.720000000,227763.47,40136.83,66062.27,0.00,121564.37,121550.41,13.96,0.00
Charlotte,Weekly,"2019-01-07 00:00:00",Organic,1.910000000,13444.95,73.45,5468.29,183.41,7719.80,7453.13,266.67,0.00
Chicago,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,127832.85,870.15,20225.46,0.00,106737.24,106737.24,0.00,0.00
Cincinnati/Dayton,Weekly,"2019-01-07 00:00:00",Organic,1.380000000,10194.47,189.69,3964.10,0.00,6040.68,2216.06,3824.62,0.00
Columbus,Weekly,"2019-01-07 00:00:00",Organic,1.330000000,9851.41,573.58,1734.24,0.00,7543.59,5529.18,2014.41,0.00
"Dallas/Ft. Worth",Weekly,"2019-01-07 00:00:00",Organic,1.400000000,35901.02,6553.37,546.33,492.77,28308.55,16425.47,11883.08,0.00
Denver,Weekly,"2019-01-07 00:00:00",Organic,1.560000000,28821.80,6137.80,1477.23,66.43,21140.34,20408.24,732.10,0.00
Detroit,Weekly,"2019-01-07 00:00:00",Organic,1.260000000,16513.30,835.82,3985.06,0.00,11692.42,8889.41,2803.01,0.00
"Grand Rapids",Weekly,"2019-01-07 00:00:00",Organic,1.280000000,13832.87,14.29,2681.10,0.00,11137.48,11091.43,46.05,0.00
"Great Lakes",Weekly,"2019-01-07 00:00:00",Organic,1.210000000,298675.32,6440.64,43197.04,3.10,249030.76,225228.71,23802.05,0.00
Harrisburg/Scranton,Weekly,"2019-01-07 00:00:00",Organic,1.170000000,24102.28,273.94,402.16,0.00,23426.18,23426.18,0.00,0.00
Hartford/Springfield,Weekly,"2019-01-07 00:00:00",Organic,1.880000000,16827.14,95.17,8288.36,0.00,8443.61,8443.61,0.00,0.00
Houston,Weekly,"2019-01-07 00:00:00",Organic,1.610000000,25574.66,5231.01,66.02,0.00,20277.63,19807.63,470.00,0.00
Indianapolis,Weekly,"2019-01-07 00:00:00",Organic,1.320000000,9604.15,377.91,1273.07,0.00,7953.17,4052.61,3900.56,0.00
Jacksonville,Weekly,"2019-01-07 00:00:00",Organic,1.500000000,2720.60,169.47,142.52,5.31,2403.30,2403.30,0.00,0.00
"Las Vegas",Weekly,"2019-01-07 00:00:00",Organic,1.550000000,14802.19,2127.84,1923.02,0.00,10751.33,10736.63,14.70,0.00
"Los Angeles",Weekly,"2019-01-07 00:00:00",Organic,1.560000000,129838.17,16562.57,27556.09,0.00,85719.51,85708.85,10.66,0.00
Louisville,Weekly,"2019-01-07 00:00:00",Organic,1.190000000,5541.45,10.87,1259.22,0.00,4271.36,3153.93,1117.43,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-01-07 00:00:00",Organic,1.420000000,9260.23,1049.49,11.16,0.00,8199.58,8199.58,0.00,0.00
Midsouth,Weekly,"2019-01-07 00:00:00",Organic,1.440000000,207661.74,4466.44,40900.63,575.89,161718.78,150810.65,10908.13,0.00
Nashville,Weekly,"2019-01-07 00:00:00",Organic,1.400000000,5994.73,159.17,2289.86,0.00,3545.70,765.49,2780.21,0.00
"New Orleans/Mobile",Weekly,"2019-01-07 00:00:00",Organic,1.500000000,3778.11,586.25,50.06,0.00,3141.80,3028.47,113.33,0.00
"New York",Weekly,"2019-01-07 00:00:00",Organic,1.670000000,94808.68,13549.28,15041.39,12.09,66205.92,66195.84,10.08,0.00
Northeast,Weekly,"2019-01-07 00:00:00",Organic,1.470000000,315069.87,20574.05,37944.62,10.47,256540.73,216494.92,40045.81,0.00
"Northern New England",Weekly,"2019-01-07 00:00:00",Organic,1.460000000,38307.48,0.00,5571.07,0.00,32736.41,24996.78,7739.63,0.00
Orlando,Weekly,"2019-01-07 00:00:00",Organic,1.420000000,7906.98,247.95,10.14,0.00,7648.89,7648.89,0.00,0.00
Philadelphia,Weekly,"2019-01-07 00:00:00",Organic,1.290000000,35769.15,2637.66,2997.39,0.00,30134.10,30131.24,2.86,0.00
Phoenix/Tucson,Weekly,"2019-01-07 00:00:00",Organic,1.460000000,22618.68,3256.17,4271.57,0.00,15090.94,15057.37,33.57,0.00
Pittsburgh,Weekly,"2019-01-07 00:00:00",Organic,1.280000000,16263.09,1008.13,0.00,0.00,15254.96,15254.96,0.00,0.00
Plains,Weekly,"2019-01-07 00:00:00",Organic,1.250000000,96506.35,17291.37,12414.31,2.15,66798.52,57331.97,9466.55,0.00
Portland,Weekly,"2019-01-07 00:00:00",Organic,1.820000000,34149.37,1281.91,10287.18,0.00,22580.28,2038.51,20539.85,1.92
Raleigh/Greensboro,Weekly,"2019-01-07 00:00:00",Organic,2.100000000,18203.61,64.65,6024.39,123.09,11991.48,11885.86,105.62,0.00
Richmond/Norfolk,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,23507.08,48.35,3541.10,35.22,19882.41,19230.28,652.13,0.00
Roanoke,Weekly,"2019-01-07 00:00:00",Organic,1.290000000,9215.21,707.10,1497.31,0.00,7010.80,6430.16,580.64,0.00
Sacramento,Weekly,"2019-01-07 00:00:00",Organic,1.720000000,10887.05,2499.40,2826.87,0.00,5560.78,5557.45,3.33,0.00
"San Diego",Weekly,"2019-01-07 00:00:00",Organic,1.820000000,21157.28,4102.54,11843.67,0.00,5211.07,5211.07,0.00,0.00
"San Francisco",Weekly,"2019-01-07 00:00:00",Organic,2.500000000,24680.35,11489.10,8886.02,0.00,4305.23,4305.23,0.00,0.00
Seattle,Weekly,"2019-01-07 00:00:00",Organic,1.590000000,95024.99,1301.73,26557.16,1.33,67164.77,2688.51,64461.48,14.78
"South Carolina",Weekly,"2019-01-07 00:00:00",Organic,1.510000000,19190.29,176.85,4850.23,55.61,14107.60,12745.98,1361.62,0.00
"South Central",Weekly,"2019-01-07 00:00:00",Organic,1.460000000,146534.38,24543.47,4494.55,3388.06,114108.30,83414.44,30693.86,0.00
Southeast,Weekly,"2019-01-07 00:00:00",Organic,1.470000000,100363.52,3212.95,14966.71,81.07,82102.79,69410.29,12692.50,0.00
Spokane,Weekly,"2019-01-07 00:00:00",Organic,1.910000000,5702.50,230.58,1882.15,6.50,3583.27,842.22,2741.05,0.00
"St. Louis",Weekly,"2019-01-07 00:00:00",Organic,1.280000000,19562.45,10680.67,1952.58,1.42,6927.78,5177.59,1750.19,0.00
Syracuse,Weekly,"2019-01-07 00:00:00",Organic,1.150000000,7747.16,84.23,267.59,0.00,7395.34,4104.17,3291.17,0.00
Tampa,Weekly,"2019-01-07 00:00:00",Organic,1.450000000,6512.32,206.23,1.00,0.00,6305.09,6305.09,0.00,0.00
West,Weekly,"2019-01-07 00:00:00",Organic,1.630000000,313562.33,27627.80,66257.54,788.91,218888.08,115137.16,103712.94,37.98
"West Tex/New Mexico",Weekly,"2019-01-07 00:00:00",Organic,1.570000000,23569.76,1985.39,1457.13,1945.50,18181.74,17148.40,1033.34,0.00
"Total U.S.",Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,48088440.48,15500568.59,13443606.86,741410.17,18402854.86,12137097.88,6130317.90,135439.08
Albany,Weekly,"2019-01-13 00:00:00",Conventional,1.090000000,133875.68,3134.59,119057.57,193.24,11490.28,8247.70,3222.58,20.00
Atlanta,Weekly,"2019-01-13 00:00:00",Conventional,0.910000000,865343.52,394138.36,36214.71,4837.49,430152.96,311558.27,118556.92,37.77
Baltimore/Washington,Weekly,"2019-01-13 00:00:00",Conventional,1.340000000,958821.32,144348.09,503263.33,10973.83,300236.07,281585.43,18650.64,0.00
Boise,Weekly,"2019-01-13 00:00:00",Conventional,1.040000000,123073.71,59058.66,6925.85,9601.09,47488.11,21016.60,26388.55,82.96
Boston,Weekly,"2019-01-13 00:00:00",Conventional,1.390000000,700001.80,10156.25,523703.96,1980.56,164161.03,128952.99,35208.04,0.00
Buffalo/Rochester,Weekly,"2019-01-13 00:00:00",Conventional,1.190000000,180146.72,7464.26,79871.65,270.48,92540.33,52294.28,40246.05,0.00
California,Weekly,"2019-01-13 00:00:00",Conventional,0.950000000,7749229.19,2000059.34,3246072.67,111722.47,2391374.71,2231658.29,88869.84,70846.58
Charlotte,Weekly,"2019-01-13 00:00:00",Conventional,1.080000000,331205.39,130738.13,63781.24,8859.89,127826.13,106527.75,21258.38,40.00
Chicago,Weekly,"2019-01-13 00:00:00",Conventional,0.960000000,766127.03,180622.80,407815.91,38334.08,139354.24,114419.90,21433.69,3500.65
Cincinnati/Dayton,Weekly,"2019-01-13 00:00:00",Conventional,0.860000000,330737.77,87919.35,27045.13,12076.78,203696.51,183737.47,19522.08,436.96
Columbus,Weekly,"2019-01-13 00:00:00",Conventional,0.850000000,297316.01,83137.07,25364.71,3272.26,185541.97,157463.71,28040.87,37.39
"Dallas/Ft. Worth",Weekly,"2019-01-13 00:00:00",Conventional,0.710000000,1753638.47,797464.80,290785.02,18759.96,646628.69,386580.31,255375.18,4673.20
Denver,Weekly,"2019-01-13 00:00:00",Conventional,1.080000000,1095255.49,170704.03,232546.68,15748.43,676256.35,180010.11,495967.36,278.88
Detroit,Weekly,"2019-01-13 00:00:00",Conventional,0.930000000,600113.36,165211.99,48209.54,46570.39,340121.44,302985.79,30303.64,6832.01
"Grand Rapids",Weekly,"2019-01-13 00:00:00",Conventional,1.530000000,162140.73,5558.98,67771.33,41690.72,47119.70,34288.88,2308.35,10522.47
"Great Lakes",Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,4539448.43,1004154.80,1049901.70,234362.30,2251029.63,1781046.01,418020.26,51963.36
Harrisburg/Scranton,Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,357210.37,61894.49,181202.04,799.69,113314.15,110663.56,2647.26,3.33
Hartford/Springfield,Weekly,"2019-01-13 00:00:00",Conventional,1.320000000,393301.80,6847.61,309985.90,800.04,75668.25,66934.22,8734.03,0.00
Houston,Weekly,"2019-01-13 00:00:00",Conventional,0.730000000,1706041.83,722612.53,260999.23,2677.18,719752.89,256121.77,463590.01,41.11
Indianapolis,Weekly,"2019-01-13 00:00:00",Conventional,0.840000000,330516.35,70756.34,48560.22,6868.58,204331.21,177425.61,21821.10,5084.50
Jacksonville,Weekly,"2019-01-13 00:00:00",Conventional,0.980000000,275550.64,163607.41,12610.96,1840.91,97491.36,36544.36,60943.67,3.33
"Las Vegas",Weekly,"2019-01-13 00:00:00",Conventional,1.000000000,384537.37,62982.59,108892.61,10177.98,202484.19,81083.12,121401.07,0.00
"Los Angeles",Weekly,"2019-01-13 00:00:00",Conventional,0.880000000,3733627.70,1111448.34,861134.99,70803.45,1690240.92,1582259.22,52635.06,55346.64
Louisville,Weekly,"2019-01-13 00:00:00",Conventional,0.970000000,155841.43,38183.95,18673.48,441.47,98542.53,72193.80,26342.06,6.67
"Miami/Ft. Lauderdale",Weekly,"2019-01-13 00:00:00",Conventional,0.960000000,1179790.52,735127.08,71785.56,7171.73,365706.15,120334.62,245371.53,0.00
Midsouth,Weekly,"2019-01-13 00:00:00",Conventional,1.060000000,4470991.55,1390474.95,1095808.57,44082.07,1940625.96,1612665.31,327887.32,73.33
Nashville,Weekly,"2019-01-13 00:00:00",Conventional,0.930000000,331216.01,141911.16,10233.43,546.70,178524.72,132369.17,46152.22,3.33
"New Orleans/Mobile",Weekly,"2019-01-13 00:00:00",Conventional,0.980000000,367687.41,224769.15,22095.81,1434.00,119388.45,77529.30,41849.15,10.00
"New York",Weekly,"2019-01-13 00:00:00",Conventional,1.150000000,2282721.60,48333.11,1562315.31,15740.80,656332.38,613242.03,43043.44,46.91
Northeast,Weekly,"2019-01-13 00:00:00",Conventional,1.170000000,5977802.02,265534.32,3977644.86,26490.18,1708132.66,1439733.56,268334.21,64.89
"Northern New England",Weekly,"2019-01-13 00:00:00",Conventional,1.260000000,514871.34,11714.63,438853.94,240.50,64062.27,31065.83,32996.44,0.00
Orlando,Weekly,"2019-01-13 00:00:00",Conventional,0.940000000,654176.29,374090.12,30112.86,5993.00,243980.31,101455.17,142511.81,13.33
Philadelphia,Weekly,"2019-01-13 00:00:00",Conventional,1.010000000,705215.88,36604.44,391698.99,3899.23,273013.22,254109.71,18903.51,0.00
Phoenix/Tucson,Weekly,"2019-01-13 00:00:00",Conventional,0.620000000,1792436.20,917801.96,271881.58,20895.51,581857.15,226591.44,355265.71,0.00
Pittsburgh,Weekly,"2019-01-13 00:00:00",Conventional,1.200000000,125433.83,35833.04,15895.25,1708.86,71996.68,40826.29,31170.39,0.00
Plains,Weekly,"2019-01-13 00:00:00",Conventional,1.050000000,2415656.16,1039456.17,566307.60,26757.03,783135.36,680346.73,101546.49,1242.14
Portland,Weekly,"2019-01-13 00:00:00",Conventional,1.100000000,705685.74,76862.60,253499.89,28382.87,346940.38,112595.15,233618.02,727.21
Raleigh/Greensboro,Weekly,"2019-01-13 00:00:00",Conventional,1.050000000,435689.60,172269.50,79111.25,10015.35,174293.50,148474.18,25815.99,3.33
Richmond/Norfolk,Weekly,"2019-01-13 00:00:00",Conventional,0.890000000,404277.48,131972.00,71653.70,2809.75,197842.03,166629.04,31192.99,20.00
Roanoke,Weekly,"2019-01-13 00:00:00",Conventional,0.860000000,269460.88,75106.76,37064.28,166.72,157123.12,129923.07,27196.72,3.33
Sacramento,Weekly,"2019-01-13 00:00:00",Conventional,1.030000000,575529.52,131361.78,370133.82,2503.51,71530.41,63609.51,6221.74,1699.16
"San Diego",Weekly,"2019-01-13 00:00:00",Conventional,0.830000000,722845.67,134890.94,344989.91,12381.69,230583.13,217861.84,12691.44,29.85
"San Francisco",Weekly,"2019-01-13 00:00:00",Conventional,1.190000000,1039807.29,175171.77,729939.63,9557.49,125138.40,116995.37,5099.16,3043.87
Seattle,Weekly,"2019-01-13 00:00:00",Conventional,1.370000000,612395.80,95995.94,177432.72,1397.22,337569.92,109027.77,227816.30,725.85
"South Carolina",Weekly,"2019-01-13 00:00:00",Conventional,1.000000000,572800.55,311529.71,58273.00,4499.40,198498.44,138101.47,60180.30,216.67
"South Central",Weekly,"2019-01-13 00:00:00",Conventional,0.780000000,8161549.06,3741714.26,1320070.49,104248.83,2995515.48,1645203.94,1341866.04,8445.50
Southeast,Weekly,"2019-01-13 00:00:00",Conventional,0.950000000,6429201.94,3528514.54,355875.90,36352.32,2508459.18,1314017.27,1194040.80,401.11
Spokane,Weekly,"2019-01-13 00:00:00",Conventional,1.190000000,108836.02,24763.86,25835.07,207.47,58029.62,22724.47,35175.38,129.77
"St. Louis",Weekly,"2019-01-13 00:00:00",Conventional,1.160000000,214277.11,98193.45,10827.81,796.03,104459.82,69035.03,35404.79,20.00
Syracuse,Weekly,"2019-01-13 00:00:00",Conventional,1.120000000,90712.80,4759.84,52252.82,126.00,33574.14,15047.91,18526.23,0.00
Tampa,Weekly,"2019-01-13 00:00:00",Conventional,0.960000000,735785.93,414100.98,39790.86,3454.84,278439.25,98732.52,179703.40,3.33
West,Weekly,"2019-01-13 00:00:00",Conventional,0.960000000,8344562.14,2530660.22,1831925.08,157394.96,3824581.88,1432426.80,2389752.92,2402.16
"West Tex/New Mexico",Weekly,"2019-01-13 00:00:00",Conventional,0.860000000,958042.97,466377.36,130997.77,48142.35,312525.49,215343.06,97159.10,23.33
"Total U.S.",Weekly,"2019-01-13 00:00:00",Organic,1.480000000,1618207.00,143351.55,251981.54,4046.99,1218814.15,1062864.59,155905.58,43.98
Albany,Weekly,"2019-01-13 00:00:00",Organic,1.280000000,6013.38,35.38,525.16,0.00,5452.84,5452.84,0.00,0.00
Atlanta,Weekly,"2019-01-13 00:00:00",Organic,1.690000000,13862.81,268.98,3362.54,0.00,10231.29,5843.58,4387.71,0.00
Baltimore/Washington,Weekly,"2019-01-13 00:00:00",Organic,1.220000000,65114.19,674.94,5268.84,24.12,59146.29,58776.80,369.49,0.00
Boise,Weekly,"2019-01-13 00:00:00",Organic,1.720000000,3584.90,4.02,954.14,0.00,2626.74,1325.37,1301.37,0.00
Boston,Weekly,"2019-01-13 00:00:00",Organic,1.460000000,38679.91,34.54,2544.47,0.00,36100.90,20562.17,15538.73,0.00
Buffalo/Rochester,Weekly,"2019-01-13 00:00:00",Organic,1.070000000,25713.19,514.54,136.94,0.00,25061.71,18428.84,6632.87,0.00
California,Weekly,"2019-01-13 00:00:00",Organic,1.720000000,199689.73,45756.06,59096.59,0.00,94837.08,94817.65,19.43,0.00
Charlotte,Weekly,"2019-01-13 00:00:00",Organic,1.810000000,13456.14,80.50,5085.71,88.01,8201.92,7236.54,965.38,0.00
Chicago,Weekly,"2019-01-13 00:00:00",Organic,1.400000000,75950.20,646.30,10999.65,0.00,64304.25,64304.25,0.00,0.00
Cincinnati/Dayton,Weekly,"2019-01-13 00:00:00",Organic,1.620000000,12141.70,147.63,3721.23,0.00,8272.84,4186.36,4086.48,0.00
Columbus,Weekly,"2019-01-13 00:00:00",Organic,1.140000000,14096.19,1342.64,1401.10,1.12,11351.33,10938.76,412.57,0.00
"Dallas/Ft. Worth",Weekly,"2019-01-13 00:00:00",Organic,1.410000000,29932.12,6502.64,172.97,428.76,22827.75,13333.30,9494.45,0.00
Denver,Weekly,"2019-01-13 00:00:00",Organic,1.600000000,21663.69,4957.17,1428.85,29.15,15248.52,15112.82,135.70,0.00
Detroit,Weekly,"2019-01-13 00:00:00",Organic,1.200000000,16688.20,530.43,2895.97,0.00,13261.80,12989.68,272.12,0.00
"Grand Rapids",Weekly,"2019-01-13 00:00:00",Organic,1.240000000,14677.69,24.21,3677.01,0.00,10976.47,10935.33,41.14,0.00
"Great Lakes",Weekly,"2019-01-13 00:00:00",Organic,1.290000000,258004.82,7504.59,32614.90,1.54,217871.02,204903.88,12967.14,0.00
Harrisburg/Scranton,Weekly,"2019-01-13 00:00:00",Organic,1.160000000,28225.14,289.56,264.82,0.00,27670.76,27670.76,0.00,0.00
Hartford/Springfield,Weekly,"2019-01-13 00:00:00",Organic,1.800000000,17151.18,78.02,6657.79,0.00,10415.37,10415.37,0.00,0.00
Houston,Weekly,"2019-01-13 00:00:00",Organic,1.310000000,38827.51,5346.41,18.27,0.00,33462.83,33262.83,200.00,0.00
Indianapolis,Weekly,"2019-01-13 00:00:00",Organic,1.330000000,10430.34,456.97,1187.05,0.00,8786.32,5598.87,3187.45,0.00
Jacksonville,Weekly,"2019-01-13 00:00:00",Organic,1.510000000,2991.39,186.42,132.81,0.00,2672.16,2632.22,39.94,0.00
