Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2018-01-01 00:00:00",Conventional,1.470000000,113514.42,2622.70,101135.53,20.25,9735.94,5556.98,4178.96,0.00
Atlanta,Weekly,"2018-01-01 00:00:00",Conventional,0.950000000,649352.59,341061.46,41818.27,961.18,265511.68,173990.02,88882.27,2639.39
Baltimore/Washington,Weekly,"2018-01-01 00:00:00",Conventional,1.150000000,849487.62,66628.66,519460.20,4920.46,258478.30,245665.84,12812.46,0.00
Boise,Weekly,"2018-01-01 00:00:00",Conventional,1.130000000,79646.97,38196.44,1706.22,6263.00,33481.31,28764.84,4676.67,39.80
Boston,Weekly,"2018-01-01 00:00:00",Conventional,1.400000000,419696.59,9622.52,325398.02,2061.91,82614.14,65868.23,16745.91,0.00
Buffalo/Rochester,Weekly,"2018-01-01 00:00:00",Conventional,1.270000000,115508.29,5924.57,62632.07,25.00,46926.65,37397.52,9529.13,0.00
California,Weekly,"2018-01-01 00:00:00",Conventional,0.930000000,7132711.23,2280934.17,3201737.11,111845.09,1538194.86,1461095.10,20553.60,56546.16
Charlotte,Weekly,"2018-01-01 00:00:00",Conventional,0.930000000,346356.50,60766.53,108930.41,6349.26,170310.30,162934.08,7369.55,6.67
Chicago,Weekly,"2018-01-01 00:00:00",Conventional,0.930000000,1182647.50,144034.24,845964.70,120869.17,71779.39,63314.15,8409.90,55.34
Cincinnati/Dayton,Weekly,"2018-01-01 00:00:00",Conventional,0.860000000,278128.16,86072.67,43570.02,18071.02,130414.45,120022.99,10142.47,248.99
Columbus,Weekly,"2018-01-01 00:00:00",Conventional,0.800000000,221203.78,103506.03,30763.37,5224.82,81709.56,68828.14,12796.92,84.50
"Dallas/Ft. Worth",Weekly,"2018-01-01 00:00:00",Conventional,0.900000000,1116393.20,481105.48,307423.18,4818.24,323046.30,161254.88,161616.45,174.97
Denver,Weekly,"2018-01-01 00:00:00",Conventional,0.940000000,938481.85,127052.75,355322.20,8950.91,447155.99,62602.48,384553.51,0.00
Detroit,Weekly,"2018-01-01 00:00:00",Conventional,0.840000000,467584.30,146333.69,91027.90,25276.56,204946.15,161600.45,41058.72,2286.98
"Grand Rapids",Weekly,"2018-01-01 00:00:00",Conventional,1.090000000,202635.01,2522.84,103361.16,58453.24,38297.77,17391.94,4053.28,16852.55
"Great Lakes",Weekly,"2018-01-01 00:00:00",Conventional,0.920000000,4398887.92,1092011.22,1740608.60,364049.45,1202218.65,927628.08,231172.74,43417.83
Harrisburg/Scranton,Weekly,"2018-01-01 00:00:00",Conventional,1.370000000,195897.40,35962.67,106173.46,56.99,53704.28,41330.39,12373.89,0.00
Hartford/Springfield,Weekly,"2018-01-01 00:00:00",Conventional,1.420000000,245203.25,4805.09,183945.55,178.97,56273.64,48824.63,7447.45,1.56
Houston,Weekly,"2018-01-01 00:00:00",Conventional,0.780000000,1391181.63,564063.25,209000.62,4194.25,613923.51,527743.84,86179.67,0.00
Indianapolis,Weekly,"2018-01-01 00:00:00",Conventional,0.960000000,205202.95,67904.72,57394.76,13768.33,66135.14,59516.58,6575.66,42.90
Jacksonville,Weekly,"2018-01-01 00:00:00",Conventional,1.120000000,206562.78,115793.69,14230.19,277.37,76261.53,29166.63,46858.23,236.67
"Las Vegas",Weekly,"2018-01-01 00:00:00",Conventional,1.040000000,291922.57,57663.71,111439.26,6018.29,116801.31,49190.85,67480.46,130.00
"Los Angeles",Weekly,"2018-01-01 00:00:00",Conventional,0.880000000,3212261.75,1368619.91,755743.47,75509.63,1012388.74,959746.82,14343.09,38298.83
Louisville,Weekly,"2018-01-01 00:00:00",Conventional,0.870000000,117941.49,26048.65,34289.02,270.75,57333.07,37617.67,19711.15,4.25
"Miami/Ft. Lauderdale",Weekly,"2018-01-01 00:00:00",Conventional,1.170000000,728998.69,499352.88,74265.81,3057.20,152322.80,72698.98,79623.82,0.00
Midsouth,Weekly,"2018-01-01 00:00:00",Conventional,0.960000000,3777193.46,937259.75,1398684.02,29457.57,1411792.12,1246593.68,163761.83,1436.61
Nashville,Weekly,"2018-01-01 00:00:00",Conventional,0.810000000,258729.83,159028.54,10137.80,177.54,89385.95,70278.20,18477.36,630.39
"New Orleans/Mobile",Weekly,"2018-01-01 00:00:00",Conventional,1.060000000,262281.64,164147.55,23239.77,1336.79,73557.53,61080.44,11333.76,1143.33
"New York",Weekly,"2018-01-01 00:00:00",Conventional,1.330000000,1201219.44,36680.16,816261.84,445.17,347832.27,269325.19,78507.08,0.00
Northeast,Weekly,"2018-01-01 00:00:00",Conventional,1.310000000,3652549.70,235982.42,2537022.88,7412.85,872131.55,658153.52,213974.56,3.47
"Northern New England",Weekly,"2018-01-01 00:00:00",Conventional,1.130000000,513318.77,12055.64,455794.95,1957.91,43510.27,16181.54,27328.73,0.00
Orlando,Weekly,"2018-01-01 00:00:00",Conventional,1.160000000,461913.85,314324.12,38867.01,665.33,108057.39,56521.08,51536.31,0.00
Philadelphia,Weekly,"2018-01-01 00:00:00",Conventional,1.350000000,334783.58,17238.97,210750.82,276.38,106517.41,79090.96,27426.45,0.00
Phoenix/Tucson,Weekly,"2018-01-01 00:00:00",Conventional,0.750000000,986474.74,422070.44,283040.88,12415.52,268947.90,173098.72,93945.85,1903.33
Pittsburgh,Weekly,"2018-01-01 00:00:00",Conventional,1.010000000,150867.12,76689.80,30458.87,2273.44,41445.01,28145.83,13299.18,0.00
Plains,Weekly,"2018-01-01 00:00:00",Conventional,1.020000000,2173591.74,1159470.84,493193.16,5719.66,515208.08,417190.30,97986.16,31.62
