Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Portland,Weekly,"2018-01-01 00:00:00",Conventional,0.890000000,614950.95,93210.19,250586.40,16024.90,255129.46,204432.64,50366.11,330.71
Raleigh/Greensboro,Weekly,"2018-01-01 00:00:00",Conventional,0.920000000,419590.58,90432.19,134861.05,5994.91,188302.43,178330.99,9970.33,1.11
Richmond/Norfolk,Weekly,"2018-01-01 00:00:00",Conventional,0.830000000,315463.87,101602.77,102532.75,1995.65,109332.70,97601.86,11720.60,10.24
Roanoke,Weekly,"2018-01-01 00:00:00",Conventional,0.810000000,194627.58,63533.54,44810.59,99.22,86184.23,64304.28,21865.75,14.20
Sacramento,Weekly,"2018-01-01 00:00:00",Conventional,1.030000000,578374.50,130774.36,396250.81,922.03,50427.30,46215.90,521.92,3689.48
"San Diego",Weekly,"2018-01-01 00:00:00",Conventional,0.980000000,619699.65,199514.36,268431.96,15509.50,136243.83,129566.10,4704.40,1973.33
"San Francisco",Weekly,"2018-01-01 00:00:00",Conventional,0.920000000,1174818.67,174144.97,860294.61,1733.53,138645.56,136909.07,32.99,1703.50
Seattle,Weekly,"2018-01-01 00:00:00",Conventional,1.100000000,559149.89,167408.78,182686.49,699.05,208355.57,161594.74,46404.85,355.98
"South Carolina",Weekly,"2018-01-01 00:00:00",Conventional,0.990000000,460716.58,210307.64,80809.78,3034.55,166564.61,124648.00,41191.56,725.05
"South Central",Weekly,"2018-01-01 00:00:00",Conventional,0.850000000,6150665.32,2819105.97,1288524.97,22204.28,2020830.10,1456270.21,563984.42,575.47
Southeast,Weekly,"2018-01-01 00:00:00",Conventional,1.080000000,4651107.62,2795828.19,448136.41,12621.43,1394521.59,807942.12,571443.81,15135.66
Spokane,Weekly,"2018-01-01 00:00:00",Conventional,0.940000000,98086.34,30325.05,36245.20,501.63,31014.46,24405.56,6544.94,63.96
"St. Louis",Weekly,"2018-01-01 00:00:00",Conventional,1.140000000,192170.15,96909.29,6606.57,263.96,88390.33,67703.51,20686.82,0.00
Syracuse,Weekly,"2018-01-01 00:00:00",Conventional,1.390000000,59077.02,2596.63,41694.13,23.20,14763.06,11544.79,3218.27,0.00
Tampa,Weekly,"2018-01-01 00:00:00",Conventional,1.160000000,548933.38,364499.92,55831.33,610.57,127991.56,59003.18,68988.38,0.00
West,Weekly,"2018-01-01 00:00:00",Conventional,0.940000000,6330634.55,1789024.92,2089553.44,91527.19,2360529.00,1117482.22,1235496.72,7550.06
"West Tex/New Mexico",Weekly,"2018-01-01 00:00:00",Conventional,0.890000000,727024.03,347248.16,158559.97,5628.28,215587.62,78402.09,137088.87,96.66
"Total U.S.",Weekly,"2018-01-01 00:00:00",Conventional,0.980000000,38267341.61,13109617.49,13197460.59,644837.54,11315425.99,8092355.20,3098373.91,124696.88
"Total U.S.",Weekly,"2018-01-07 00:00:00",Conventional,1.130000000,36703156.72,13730992.75,10781339.21,677714.86,11513109.90,8231766.23,3130919.10,150424.57
Albany,Weekly,"2018-01-07 00:00:00",Conventional,1.130000000,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33
Atlanta,Weekly,"2018-01-07 00:00:00",Conventional,0.980000000,713915.80,364463.12,47869.41,1459.65,300123.62,217644.43,78287.66,4191.53
Baltimore/Washington,Weekly,"2018-01-07 00:00:00",Conventional,1.500000000,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0.00
Boise,Weekly,"2018-01-07 00:00:00",Conventional,1.300000000,85697.65,45936.53,2658.28,7511.15,29591.69,21784.14,7752.83,54.72
Boston,Weekly,"2018-01-07 00:00:00",Conventional,1.280000000,685417.51,12012.96,557314.83,4961.24,111128.48,58834.32,52294.16,0.00
Buffalo/Rochester,Weekly,"2018-01-07 00:00:00",Conventional,1.280000000,161876.76,8645.30,92302.56,56.67,60872.23,12248.04,48624.19,0.00
California,Weekly,"2018-01-07 00:00:00",Conventional,1.190000000,5756632.36,2350838.88,1704810.36,135053.06,1565930.06,1465321.32,25951.12,74657.62
Charlotte,Weekly,"2018-01-07 00:00:00",Conventional,1.360000000,243301.08,69157.01,80320.79,4915.10,88908.18,84280.34,4627.84,0.00
Chicago,Weekly,"2018-01-07 00:00:00",Conventional,1.500000000,842141.42,132853.21,475772.58,139314.80,94200.83,85019.84,9161.86,19.13
Cincinnati/Dayton,Weekly,"2018-01-07 00:00:00",Conventional,0.910000000,303592.92,98045.53,37713.62,18889.29,148944.48,130642.78,18046.80,254.90
Columbus,Weekly,"2018-01-07 00:00:00",Conventional,0.840000000,256757.60,112638.98,32262.19,4167.93,107688.50,89971.36,17360.90,356.24
"Dallas/Ft. Worth",Weekly,"2018-01-07 00:00:00",Conventional,0.920000000,1140210.38,587439.51,258369.66,5543.59,288857.62,183640.29,104915.08,302.25
Denver,Weekly,"2018-01-07 00:00:00",Conventional,1.010000000,963849.75,184830.15,292349.16,14102.19,472568.25,112396.90,360171.35,0.00
Detroit,Weekly,"2018-01-07 00:00:00",Conventional,0.920000000,512142.96,164665.38,81248.88,23315.80,242912.90,195595.55,45090.53,2226.82
"Grand Rapids",Weekly,"2018-01-07 00:00:00",Conventional,1.350000000,169476.04,2865.76,75494.46,45133.04,45982.78,29085.45,3455.76,13441.57
"Great Lakes",Weekly,"2018-01-07 00:00:00",Conventional,1.110000000,4123104.83,1112028.17,1238992.50,350648.99,1421435.17,1154910.93,230241.31,36282.93
Harrisburg/Scranton,Weekly,"2018-01-07 00:00:00",Conventional,1.330000000,257281.38,57546.66,128633.39,70.97,71030.36,57822.58,13207.78,0.00
Hartford/Springfield,Weekly,"2018-01-07 00:00:00",Conventional,1.520000000,283678.88,5732.13,214934.82,136.28,62875.65,49441.07,13434.58,0.00
Houston,Weekly,"2018-01-07 00:00:00",Conventional,0.800000000,1390616.83,658828.73,171364.98,3656.03,556767.09,446637.02,110130.07,0.00
Indianapolis,Weekly,"2018-01-07 00:00:00",Conventional,0.950000000,241296.05,77536.48,52880.27,15323.48,95555.82,88828.80,6694.44,32.58
Jacksonville,Weekly,"2018-01-07 00:00:00",Conventional,1.200000000,197919.40,116008.83,13934.03,395.16,67581.38,26811.45,40448.82,321.11
"Las Vegas",Weekly,"2018-01-07 00:00:00",Conventional,1.050000000,345809.34,78921.42,113033.07,7515.77,146339.08,60836.42,85049.33,453.33
"Los Angeles",Weekly,"2018-01-07 00:00:00",Conventional,1.040000000,2725856.44,1275098.12,354221.03,91230.73,1005306.56,940327.03,18317.46,46662.07
Louisville,Weekly,"2018-01-07 00:00:00",Conventional,1.000000000,118958.80,29241.59,37772.39,170.77,51774.05,32655.63,19115.60,2.82
"Miami/Ft. Lauderdale",Weekly,"2018-01-07 00:00:00",Conventional,1.220000000,746903.16,513398.84,68558.71,1946.21,162999.40,75200.98,87798.42,0.00
Midsouth,Weekly,"2018-01-07 00:00:00",Conventional,1.200000000,3437632.80,998436.07,1224229.25,24958.08,1190009.40,1033913.96,152674.33,3421.11
Nashville,Weekly,"2018-01-07 00:00:00",Conventional,0.850000000,303963.18,167628.98,10026.09,409.67,125898.44,108075.96,16240.96,1581.52
"New Orleans/Mobile",Weekly,"2018-01-07 00:00:00",Conventional,1.150000000,295941.23,183343.94,30856.25,2514.49,79226.55,64892.60,13346.17,987.78
"New York",Weekly,"2018-01-07 00:00:00",Conventional,1.670000000,1287480.31,39884.07,866953.05,573.69,380069.50,348249.49,31820.01,0.00
Northeast,Weekly,"2018-01-07 00:00:00",Conventional,1.430000000,4230002.92,241291.93,2868985.89,12579.51,1107145.59,769968.02,337149.02,28.55
"Northern New England",Weekly,"2018-01-07 00:00:00",Conventional,1.170000000,502851.14,10284.45,394541.74,4357.02,93667.93,23938.29,69729.64,0.00
Orlando,Weekly,"2018-01-07 00:00:00",Conventional,1.190000000,430765.97,288886.48,34311.29,997.66,106570.54,65277.02,41293.52,0.00
Philadelphia,Weekly,"2018-01-07 00:00:00",Conventional,1.560000000,408203.49,22384.92,239185.79,407.29,146225.49,114764.69,31460.80,0.00
Phoenix/Tucson,Weekly,"2018-01-07 00:00:00",Conventional,0.890000000,1025312.59,470698.28,222151.20,14761.13,317701.98,178186.60,134615.38,4900.00
Pittsburgh,Weekly,"2018-01-07 00:00:00",Conventional,1.300000000,110929.77,40579.40,24117.63,1241.27,44991.47,36998.30,7993.17,0.00
Plains,Weekly,"2018-01-07 00:00:00",Conventional,1.170000000,2103531.72,1026303.18,570087.19,6096.19,501045.16,384809.96,116197.07,38.13
Portland,Weekly,"2018-01-07 00:00:00",Conventional,1.220000000,567488.01,107127.71,220686.01,14535.35,225138.94,156850.43,67977.85,310.66
Raleigh/Greensboro,Weekly,"2018-01-07 00:00:00",Conventional,1.300000000,317209.90,113445.48,103827.25,5071.98,94865.19,90848.07,4017.12,0.00
Richmond/Norfolk,Weekly,"2018-01-07 00:00:00",Conventional,1.030000000,300234.79,96040.45,94172.95,1657.28,108364.11,99730.22,8633.89,0.00
Roanoke,Weekly,"2018-01-07 00:00:00",Conventional,0.930000000,203482.84,57981.46,48543.26,161.75,96796.37,80678.76,16101.64,15.97
Sacramento,Weekly,"2018-01-07 00:00:00",Conventional,1.350000000,465108.34,159862.75,247999.00,1045.98,56200.61,49386.35,522.37,6291.89
"San Diego",Weekly,"2018-01-07 00:00:00",Conventional,1.180000000,464720.86,192510.16,118483.12,19625.38,134102.20,125040.09,6169.89,2892.22
"San Francisco",Weekly,"2018-01-07 00:00:00",Conventional,1.460000000,818086.25,209267.23,466935.74,2525.01,139358.27,136440.18,104.56,2813.53
Seattle,Weekly,"2018-01-07 00:00:00",Conventional,1.430000000,474305.15,116665.02,133127.64,1132.42,223380.07,164408.65,58738.83,232.59
"South Carolina",Weekly,"2018-01-07 00:00:00",Conventional,1.190000000,402919.29,201490.47,64214.46,3089.49,134124.87,104998.57,26809.64,2316.66
"South Central",Weekly,"2018-01-07 00:00:00",Conventional,0.900000000,6148732.19,3191091.10,1064902.97,24586.38,1868151.74,1373791.28,493580.00,780.46
Southeast,Weekly,"2018-01-07 00:00:00",Conventional,1.140000000,4544750.92,2749042.52,402798.53,15351.11,1377558.76,873160.78,483913.55,20484.43
Spokane,Weekly,"2018-01-07 00:00:00",Conventional,1.180000000,85027.89,27224.55,21852.06,487.93,35463.35,27270.42,8169.06,23.87
"St. Louis",Weekly,"2018-01-07 00:00:00",Conventional,1.340000000,171869.94,93054.39,13758.41,541.05,64516.09,53120.31,11395.78,0.00
Syracuse,Weekly,"2018-01-07 00:00:00",Conventional,1.210000000,68938.02,3687.73,46420.20,60.09,18770.00,5075.27,13694.73,0.00
Tampa,Weekly,"2018-01-07 00:00:00",Conventional,1.200000000,484007.91,317536.23,44226.34,1046.81,121198.53,68969.54,52215.66,13.33
West,Weekly,"2018-01-07 00:00:00",Conventional,1.080000000,6358768.95,2061960.91,1706532.52,108441.55,2481833.97,1175889.89,1291212.75,14731.33
"West Tex/New Mexico",Weekly,"2018-01-07 00:00:00",Conventional,0.880000000,880266.52,436282.38,178669.53,9467.11,255847.50,99686.92,155870.58,290.00
"Total U.S.",Weekly,"2018-01-14 00:00:00",Conventional,1.200000000,37299945.22,12600918.24,11866197.84,652808.40,12180020.74,8128241.88,3917569.95,134208.91
Albany,Weekly,"2018-01-14 00:00:00",Conventional,1.420000000,95246.38,2897.41,76570.67,44.00,15734.30,10012.80,5721.50,0.00
Atlanta,Weekly,"2018-01-14 00:00:00",Conventional,1.100000000,670766.04,298975.97,60229.21,1604.90,309955.96,171508.47,134436.39,4011.10
Baltimore/Washington,Weekly,"2018-01-14 00:00:00",Conventional,1.490000000,799726.89,91785.60,485963.15,4234.82,217743.32,212956.99,4783.00,3.33
Boise,Weekly,"2018-01-14 00:00:00",Conventional,1.150000000,111113.11,49335.23,7414.97,8298.95,46063.96,19135.96,26830.36,97.64
Boston,Weekly,"2018-01-14 00:00:00",Conventional,1.490000000,533150.49,10669.09,393026.08,2533.63,126921.69,81610.31,45311.38,0.00
Buffalo/Rochester,Weekly,"2018-01-14 00:00:00",Conventional,1.320000000,159070.65,8239.41,80916.85,40.26,69874.13,27693.23,42180.90,0.00
California,Weekly,"2018-01-14 00:00:00",Conventional,1.270000000,5927016.73,2098762.55,2356359.93,151045.33,1320848.92,1226559.09,25390.97,68898.86
Charlotte,Weekly,"2018-01-14 00:00:00",Conventional,1.380000000,251260.54,60751.23,97094.95,5512.27,87902.09,82964.19,4937.90,0.00
Chicago,Weekly,"2018-01-14 00:00:00",Conventional,1.640000000,762997.53,82376.44,440322.05,134141.55,106157.49,93374.57,12782.92,0.00
Cincinnati/Dayton,Weekly,"2018-01-14 00:00:00",Conventional,1.150000000,243366.13,59620.01,30542.73,19975.22,133228.17,123961.02,9260.42,6.73
Columbus,Weekly,"2018-01-14 00:00:00",Conventional,1.070000000,194619.31,77236.77,24462.37,3266.68,89653.49,75499.35,14125.61,28.53
"Dallas/Ft. Worth",Weekly,"2018-01-14 00:00:00",Conventional,0.930000000,1333180.68,677477.52,316020.36,7862.07,331820.73,240134.19,91381.56,304.98
Denver,Weekly,"2018-01-14 00:00:00",Conventional,1.100000000,1003142.47,178992.28,323916.08,11963.62,488270.49,121454.80,366815.69,0.00
Detroit,Weekly,"2018-01-14 00:00:00",Conventional,1.180000000,369628.10,94963.97,60826.16,13812.28,200025.69,162745.09,36032.53,1248.07
"Grand Rapids",Weekly,"2018-01-14 00:00:00",Conventional,1.630000000,132716.65,2444.54,60928.74,30487.47,38855.90,27912.73,1824.11,9119.06
"Great Lakes",Weekly,"2018-01-14 00:00:00",Conventional,1.310000000,3437563.27,778207.19,1040627.93,294793.29,1323934.86,1117531.11,183163.55,23240.20
Harrisburg/Scranton,Weekly,"2018-01-14 00:00:00",Conventional,1.250000000,277616.71,80067.78,121405.45,189.01,75954.47,62453.61,13500.86,0.00
Hartford/Springfield,Weekly,"2018-01-14 00:00:00",Conventional,1.530000000,289124.31,6006.14,215891.85,128.82,67097.50,60219.10,6878.40,0.00
Houston,Weekly,"2018-01-14 00:00:00",Conventional,0.950000000,1316347.07,548774.22,292561.60,6066.33,468944.92,355573.55,113294.70,76.67
Indianapolis,Weekly,"2018-01-14 00:00:00",Conventional,1.200000000,188231.39,42103.61,39886.19,14213.38,92028.21,87576.92,4431.35,19.94
Jacksonville,Weekly,"2018-01-14 00:00:00",Conventional,1.410000000,182389.99,105265.46,11039.81,332.17,65752.55,30382.80,34981.97,387.78
"Las Vegas",Weekly,"2018-01-14 00:00:00",Conventional,1.160000000,322932.06,79986.22,96281.04,7841.07,138823.73,71330.43,67126.63,366.67
"Los Angeles",Weekly,"2018-01-14 00:00:00",Conventional,1.280000000,2409159.60,1104367.71,403918.08,101443.02,799430.79,739977.40,16783.17,42670.22
Louisville,Weekly,"2018-01-14 00:00:00",Conventional,1.150000000,121812.81,12826.43,44061.69,168.90,64755.79,32059.16,32693.81,2.82
"Miami/Ft. Lauderdale",Weekly,"2018-01-14 00:00:00",Conventional,1.460000000,617912.41,416705.54,53783.64,2713.93,144709.30,81480.75,63228.55,0.00
Midsouth,Weekly,"2018-01-14 00:00:00",Conventional,1.280000000,3537243.04,793349.35,1435754.49,27610.81,1280528.39,1025338.52,251804.63,3385.24
Nashville,Weekly,"2018-01-14 00:00:00",Conventional,1.040000000,291320.91,131981.77,22212.81,355.01,136771.32,97153.34,38004.65,1613.33
"New Orleans/Mobile",Weekly,"2018-01-14 00:00:00",Conventional,1.150000000,290571.66,170097.60,22912.24,2542.00,95019.82,76659.09,17342.95,1017.78
"New York",Weekly,"2018-01-14 00:00:00",Conventional,1.670000000,1294149.71,39681.84,818051.50,1338.06,435078.31,415694.04,19384.27,0.00
Northeast,Weekly,"2018-01-14 00:00:00",Conventional,1.490000000,4073408.38,282970.70,2558511.27,8555.47,1223370.94,955649.36,267714.63,6.95
"Northern New England",Weekly,"2018-01-14 00:00:00",Conventional,1.420000000,419376.62,11067.05,322712.21,2011.52,83585.84,29827.25,53758.59,0.00
Orlando,Weekly,"2018-01-14 00:00:00",Conventional,1.400000000,387588.47,258150.99,26672.33,1199.66,101565.49,68412.96,33152.53,0.00
Philadelphia,Weekly,"2018-01-14 00:00:00",Conventional,1.500000000,419189.36,36351.30,232190.19,443.69,150204.18,126685.84,23512.81,5.53
Phoenix/Tucson,Weekly,"2018-01-14 00:00:00",Conventional,0.810000000,1354912.98,628591.78,284087.44,15249.83,426983.93,200603.91,221593.36,4786.66
Pittsburgh,Weekly,"2018-01-14 00:00:00",Conventional,1.300000000,117483.82,40292.71,22648.55,1560.23,52982.33,42859.85,10122.48,0.00
Plains,Weekly,"2018-01-14 00:00:00",Conventional,1.250000000,2033823.81,891358.60,572445.19,6526.08,563493.94,436555.79,126910.37,27.78
Portland,Weekly,"2018-01-14 00:00:00",Conventional,1.060000000,747864.18,76227.53,252457.95,17693.46,401485.24,99618.49,300591.83,1274.92
Raleigh/Greensboro,Weekly,"2018-01-14 00:00:00",Conventional,1.290000000,360772.32,88430.39,138123.95,6178.10,128039.88,119713.01,8326.87,0.00
Richmond/Norfolk,Weekly,"2018-01-14 00:00:00",Conventional,1.190000000,311185.65,76364.47,126208.57,1844.45,106768.16,84944.73,21823.43,0.00
Roanoke,Weekly,"2018-01-14 00:00:00",Conventional,1.090000000,189671.57,35632.00,58767.29,184.49,95087.79,62260.15,32827.64,0.00
Sacramento,Weekly,"2018-01-14 00:00:00",Conventional,1.310000000,504269.23,144109.69,299605.50,1249.15,59304.89,52486.47,754.65,6063.77
"San Diego",Weekly,"2018-01-14 00:00:00",Conventional,1.410000000,439652.12,160896.99,136499.29,21680.72,120575.12,113513.51,4689.39,2372.22
"San Francisco",Weekly,"2018-01-14 00:00:00",Conventional,1.210000000,1117376.99,193892.28,785766.05,2860.37,134858.29,130904.76,944.69,3008.84
Seattle,Weekly,"2018-01-14 00:00:00",Conventional,1.260000000,709903.13,109322.06,214002.35,1034.16,385544.56,136005.01,248487.47,1052.08
"South Carolina",Weekly,"2018-01-14 00:00:00",Conventional,1.240000000,423919.68,190128.64,82399.03,3424.35,147967.66,105934.11,39865.79,2167.76
"South Central",Weekly,"2018-01-14 00:00:00",Conventional,0.960000000,6514441.70,3135720.11,1470455.24,34008.03,1874258.32,1368263.33,505121.44,873.55
Southeast,Weekly,"2018-01-14 00:00:00",Conventional,1.310000000,4198992.14,2371136.88,403224.01,17012.38,1407618.87,845928.49,540110.99,21579.39
Spokane,Weekly,"2018-01-14 00:00:00",Conventional,1.200000000,102537.95,25067.66,30621.77,483.20,46365.32,22425.95,23850.96,88.41
"St. Louis",Weekly,"2018-01-14 00:00:00",Conventional,1.360000000,171192.49,76981.79,12192.94,419.29,81598.47,65370.95,16227.52,0.00
Syracuse,Weekly,"2018-01-14 00:00:00",Conventional,1.310000000,79367.52,3452.94,45825.51,72.86,30016.21,14827.72,15188.49,0.00
Tampa,Weekly,"2018-01-14 00:00:00",Conventional,1.410000000,446629.55,286535.45,36727.96,1153.00,122213.14,76263.43,45949.71,0.00
West,Weekly,"2018-01-14 00:00:00",Conventional,1.050000000,7577456.14,2249412.86,2028819.77,113257.03,3185966.48,1152416.21,2017353.32,16196.95
"West Tex/New Mexico",Weekly,"2018-01-14 00:00:00",Conventional,0.900000000,950954.60,463945.73,188126.02,11227.47,287655.38,125408.69,162040.02,206.67
"Total U.S.",Weekly,"2018-01-21 00:00:00",Conventional,1.080000000,42939821.55,14218843.83,13929702.12,928815.12,13862460.48,9866218.28,3789722.90,206519.30
Albany,Weekly,"2018-01-21 00:00:00",Conventional,1.690000000,135196.35,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0.00
Atlanta,Weekly,"2018-01-21 00:00:00",Conventional,1.100000000,639421.29,288131.95,56731.74,1612.56,292945.04,158655.80,128969.24,5320.00
Baltimore/Washington,Weekly,"2018-01-21 00:00:00",Conventional,1.180000000,1102213.13,129351.87,659069.49,4321.42,309470.35,304382.22,5088.13,0.00
Boise,Weekly,"2018-01-21 00:00:00",Conventional,1.250000000,88727.77,49711.32,2157.11,6343.03,30516.31,22463.22,8026.61,26.48
Boston,Weekly,"2018-01-21 00:00:00",Conventional,1.120000000,999783.13,15177.93,865836.92,6492.83,112275.45,85468.78,26806.67,0.00
Buffalo/Rochester,Weekly,"2018-01-21 00:00:00",Conventional,1.290000000,161887.27,8269.77,75965.53,61.69,77590.28,26340.41,51249.87,0.00
California,Weekly,"2018-01-21 00:00:00",Conventional,1.120000000,6610010.64,2378177.09,2590301.70,122950.68,1518581.17,1431898.88,24801.59,61880.70
Charlotte,Weekly,"2018-01-21 00:00:00",Conventional,1.110000000,331324.99,74246.57,80371.21,4657.83,172049.38,165016.97,7031.30,1.11
Chicago,Weekly,"2018-01-21 00:00:00",Conventional,1.420000000,951648.11,110759.53,473797.46,154585.97,212505.15,79124.15,133370.44,10.56
Cincinnati/Dayton,Weekly,"2018-01-21 00:00:00",Conventional,0.890000000,321809.30,92142.87,54830.94,12823.81,162011.68,148818.14,13170.73,22.81
Columbus,Weekly,"2018-01-21 00:00:00",Conventional,0.990000000,214353.02,75486.73,52395.54,4298.30,82172.45,63261.50,18897.31,13.64
"Dallas/Ft. Worth",Weekly,"2018-01-21 00:00:00",Conventional,0.850000000,1437239.09,728035.00,216211.98,6291.83,486700.28,410340.65,76287.17,72.46
Denver,Weekly,"2018-01-21 00:00:00",Conventional,1.160000000,872673.39,147297.68,233968.98,14834.26,476572.47,101867.53,374703.83,1.11
Detroit,Weekly,"2018-01-21 00:00:00",Conventional,0.960000000,570161.95,87365.29,220100.47,46163.59,216532.60,146574.63,65171.17,4786.80
"Grand Rapids",Weekly,"2018-01-21 00:00:00",Conventional,1.010000000,349565.06,2991.23,143928.98,137321.51,65323.34,23516.40,1183.72,40623.22
"Great Lakes",Weekly,"2018-01-21 00:00:00",Conventional,1.080000000,4824586.17,939693.95,1678615.71,599358.14,1606918.37,1091946.07,411120.89,103851.41
